PREFEITURA MUNICIPAL DE SAO JOAO DA BOA VISTA;;;;;;;;;;;;;
Bens patrimoniais;;;;;;;;;;;;;
Sistema CECAM;;;;;;;;;;;;;
Relação de Bens Patrimoniais - Aquisição de 01/01/1970 à 25/08/2018;;;;;;;;;;;;;
Categoria: 1 - BENS MÓVEIS;;;;;;;;;;;;;
-------------------------------------------------------------------------------------------------------------------------------------------;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;Categoria: BENS MÓVEIS;;;;;;;;;
;;;;;;;;;;;;;
;;;;Conta Contábil: 1.2.3.1.1.01.01;;;;;;;;;
;;;;;;;;;;;;;
;;;;Tipo: 4 - APAR.DE MEDIÇÃO E ORIENTAÇÃO  ;;;;;;;;;
;;;;;;;;;;;;;
Nº Chapa;Data Aquisição;Data Baixa;Chapa Anterior;Instituição;Descrição;Local;SubLocal;Fornecedor;Nota Fiscal;Valor Aquisição;Valor Residual;Valor do Bem;Conta Contábil
2912;05/09/1986;;0;;EODOLITO PENTAX  20D;10 - DEPARTAMENTO ENGENHARIA       ;63 - SETOR DE TOPOGRAFIA                               ;CASA DO ENGENHEIRO IN COM                         ;1253;9.953,00;0;4.786,35;1.2.3.1.1.01.01
2914;01/01/1990;;0;;EODOLITO PENTAX  20;10 - DEPARTAMENTO ENGENHARIA       ;63 - SETOR DE TOPOGRAFIA                               ;FORNECEDOR INEXISTENTE                            ;0;0;0;0;1.2.3.1.1.01.01
4554;06/09/2000;;0;; TAQUEOMETRO ELETRONICO CONJ. C/ DISTAC. E COMPENS. ELETRICO, MARCA NIKON MODELO DTM 420 Nº. 114599, COMPLETA COM ACESSORIOS;3 - DEPARTAMENTO  PLANEJAMENTO    ;15 - ASSESSORIA DE PLANEJAMENTO,GESTÃO E DESENVOLV.    ;FURTADO & SCHMIDT LTDA.                           ;8986;2.979,60;0;1.986,40;1.2.3.1.1.01.01
11730;04/07/2005;;11730;;DECIBELIMETRO MOD.DEC 430 DIGITAL ESCALA 35 A 130 COM CALIBRADOR INTERNO;10 - DEPARTAMENTO ENGENHARIA       ;61 - FISCALIZAÇÃO DE OBRAS                             ;INSTRUTHERM INSTRUMENTOS DE MEDIÇÃO LTDA;40633;510;0;340;1.2.3.1.1.01.01
